url,path,tipo_detectado,status,content_type,titulo,fuente
https://artiani.com.mx/,/,home,200,"text/html; charset=UTF-8","Artiani acuario, artículos para animales y más",crawl
https://artiani.com.mx/carrito/empty-cart.html,/carrito/empty-cart.html,otro,500,"text/html; charset=UTF-8",,crawl
https://artiani.com.mx/carrito/index-skin-base-ball.html,/carrito/index-skin-base-ball.html,otro,500,"text/html; charset=UTF-8",,crawl
https://artiani.com.mx/carrito/index-skin-football.html,/carrito/index-skin-football.html,otro,500,"text/html; charset=UTF-8",,crawl
https://artiani.com.mx/carrito/index-skin-snowboards.html,/carrito/index-skin-snowboards.html,otro,500,"text/html; charset=UTF-8",,crawl
https://artiani.com.mx/carrito/index.html,/carrito/index.html,otro,500,"text/html; charset=UTF-8",,crawl
https://artiani.com.mx/carrito/product.html,/carrito/product.html,otro,500,"text/html; charset=UTF-8",,crawl
https://artiani.com.mx/carrito/vista_previa,/carrito/vista_previa,otro,200,"text/html; charset=UTF-8","Carrito - Beay",crawl
https://artiani.com.mx/collections/womens,/collections/womens,otro,200,"text/html; charset=UTF-8","Artiani acuario, artículos para animales y más",crawl
https://artiani.com.mx/contacto,/contacto,contacto,200,"text/html; charset=UTF-8","Contacto - Beay",crawl
"https://artiani.com.mx/data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAB4AAAAMgAQMAAAD4P+14AAAAA1BMVEUAAACnej3aAAAAAXRSTlMAQObYZgAAAPdJREFUeNrswYEAAAAAgKD9qRepAgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABg9uBAAAAAAADI/7URVFVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVWFPTgQAAAAAADyf20EVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVpDw4JAAAAAAT9f+0JIwAAAAAAAAAAALAJ8T4AAZAZiOkAAAAASUVORK5CYII=","/data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAB4AAAAMgAQMAAAD4P+14AAAAA1BMVEUAAACnej3aAAAAAXRSTlMAQObYZgAAAPdJREFUeNrswYEAAAAAgKD9qRepAgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABg9uBAAAAAAADI/7URVFVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVWFPTgQAAAAAADyf20EVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVpDw4JAAAAAAT9f+0JIwAAAAAAAAAAALAJ8T4AAZAZiOkAAAAASUVORK5CYII=",otro,200,"text/html; charset=UTF-8","Artiani acuario, artículos para animales y más",crawl
https://artiani.com.mx/empty-cart.html,/empty-cart.html,otro,200,"text/html; charset=UTF-8","Artiani acuario, artículos para animales y más",crawl
https://artiani.com.mx/index-skin-base-ball.html,/index-skin-base-ball.html,otro,200,"text/html; charset=UTF-8","Artiani acuario, artículos para animales y más",crawl
https://artiani.com.mx/index-skin-football.html,/index-skin-football.html,otro,200,"text/html; charset=UTF-8","Artiani acuario, artículos para animales y más",crawl
https://artiani.com.mx/index-skin-snowboards.html,/index-skin-snowboards.html,otro,200,"text/html; charset=UTF-8","Artiani acuario, artículos para animales y más",crawl
https://artiani.com.mx/index.html,/index.html,otro,200,"text/html; charset=UTF-8","Artiani acuario, artículos para animales y más",crawl
https://artiani.com.mx/listing-collection.html,/listing-collection.html,otro,200,"text/html; charset=UTF-8","Artiani acuario, artículos para animales y más",crawl
https://artiani.com.mx/listing-left-column.html,/listing-left-column.html,otro,200,"text/html; charset=UTF-8","Artiani acuario, artículos para animales y más",crawl
https://artiani.com.mx/product.html,/product.html,otro,200,"text/html; charset=UTF-8","Artiani acuario, artículos para animales y más",crawl
