tabla,pk_columna,pk_valor,columna,valor_actual,valor_propuesto
erp_catalogo_productos,id_producto_erp,1468,descripcion,"<p>Carnaza de corazon</p><p>Color: verde</p><p>Contenido:1 pza</p><p><br></p><p>Descripci├â┬│n:</p><p>Carnaza premios snack perros medianos, chicos y grandes como premio que le encantara y al mismo tiempo se destresara saboreando y mordiendo su snack.</p>","<p>Carnaza de corazon</p><p>Color: verde</p><p>Contenido:1 pza</p><p><br></p><p>Descripción:</p><p>Carnaza premios snack perros medianos, chicos y grandes como premio que le encantara y al mismo tiempo se destresara saboreando y mordiendo su snack.</p>"
erp_catalogo_productos,id_producto_erp,1469,descripcion,"<p>Carnaza de helado</p><p>Color: rosa</p><p>Contenido:1 pza</p><p><br></p><p>Descripci├â┬│n:</p><p>Carnaza premios snack perros medianos, chicos y grandes como premio que le encantara y al mismo tiempo se destresara saboreando y mordiendo su snack.</p>","<p>Carnaza de helado</p><p>Color: rosa</p><p>Contenido:1 pza</p><p><br></p><p>Descripción:</p><p>Carnaza premios snack perros medianos, chicos y grandes como premio que le encantara y al mismo tiempo se destresara saboreando y mordiendo su snack.</p>"
erp_catalogo_productos,id_producto_erp,1470,descripcion,"<p>Arenero catyclean</p><p>Medidas: 56 x 40 x 40 cm(largo x ancho x alto)</p><p><br></p><p>Descipci├â┬│n:</p><p>Arenero cerrado para evitar derrames de arena fuera del arenero con puerta abatible ba├â┬▒o para gatos.Cuenta con asa que facilita la tarea de moverlo.&nbsp;</p><p>Incluye pala higi├â┬®nica con filtro de carbon activo para evitar que olores salgan del arenero.&nbsp;</p><p><br></p><p><br></p><p>Colores: gris, azul (sujetos a disponibilidad)</p>","<p>Arenero catyclean</p><p>Medidas: 56 x 40 x 40 cm(largo x ancho x alto)</p><p><br></p><p>Descipción:</p><p>Arenero cerrado para evitar derrames de arena fuera del arenero con puerta abatible baño para gatos.Cuenta con asa que facilita la tarea de moverlo.&nbsp;</p><p>Incluye pala higiénica con filtro de carbon activo para evitar que olores salgan del arenero.&nbsp;</p><p><br></p><p><br></p><p>Colores: gris, azul (sujetos a disponibilidad)</p>"
erp_catalogo_productos,id_producto_erp,1471,descripcion,"<p>Esquinero ba├â┬▒o para conejo</p><p>Color: amarillo</p><p>Medidas: 28 x 22 x 16 cm (largo x ancho x alto)</p><p><br></p><p><span style=""color: rgb(94, 98, 120);"">Descripci├â┬│n: Esquinero ba├â┬▒o con rejilla para evitar el contacto de sus eses con sus patitas. ba├â┬▒o para conejos, cuyos, hurones, chinchillas. capibaras. conejillode indias- y mas.</span></p>","<p>Esquinero baño para conejo</p><p>Color: amarillo</p><p>Medidas: 28 x 22 x 16 cm (largo x ancho x alto)</p><p><br></p><p><span style=""color: rgb(94, 98, 120);"">Descripción: Esquinero baño con rejilla para evitar el contacto de sus eses con sus patitas. baño para conejos, cuyos, hurones, chinchillas. capibaras. conejillode indias- y mas.</span></p>"
erp_catalogo_productos,id_producto_erp,1472,descripcion,"<p>Mochila transportadora transparente amarilla</p><p><br></p><p>Medidas: 33 x 25 x 41cm (largo x ancho x alto)</p><p><br></p><p>Descripci├â┬│n:</p><p>Bolsa malla</p><p>Agujeros toma aire</p><p>Tapete lavable</p><p>Aza para sostener</p><p>Correas ajustables</p><p>2 goma antiderrape en la parte de abajo</p>","<p>Mochila transportadora transparente amarilla</p><p><br></p><p>Medidas: 33 x 25 x 41cm (largo x ancho x alto)</p><p><br></p><p>Descripción:</p><p>Bolsa malla</p><p>Agujeros toma aire</p><p>Tapete lavable</p><p>Aza para sostener</p><p>Correas ajustables</p><p>2 goma antiderrape en la parte de abajo</p>"
erp_catalogo_productos,id_producto_erp,1473,descripcion,"<p>Arenero tina</p><p>Medidas: 50 x 41 x 16 cm (largo x ancho x alto)</p><p><br></p><p>Descripci├â┬│n: arenero de tina pr├â┬íctico amplio ba├â┬▒os para gatos</p><p><br></p><p>colores: rosa, azul, gris, verde (colores sujetos a disponibilidad)</p>","<p>Arenero tina</p><p>Medidas: 50 x 41 x 16 cm (largo x ancho x alto)</p><p><br></p><p>Descripción: arenero de tina práctico amplio baños para gatos</p><p><br></p><p>colores: rosa, azul, gris, verde (colores sujetos a disponibilidad)</p>"
erp_catalogo_productos,id_producto_erp,1474,descripcion,"<p>Arenero marco plus chico</p><p>Medidas: <span style=""color: rgb(51, 51, 51);"">40 cm X 25 cm X 10 cm</span>(largo x ancho x alto)</p><p><br></p><p><br></p><p>Descripci├â┬│n:</p><p>Arenero con contorno para evitar derrames de arena en la entrada con tipo sernidor para cuando pise caiga residuos de arena de sus patas ba├â┬▒o para gatos.</p><p><br></p><p>Colores: azul, rojo, verde (sujetos a disponibilidad)</p><p><br></p>","<p>Arenero marco plus chico</p><p>Medidas: <span style=""color: rgb(51, 51, 51);"">40 cm X 25 cm X 10 cm</span>(largo x ancho x alto)</p><p><br></p><p><br></p><p>Descripción:</p><p>Arenero con contorno para evitar derrames de arena en la entrada con tipo sernidor para cuando pise caiga residuos de arena de sus patas baño para gatos.</p><p><br></p><p>Colores: azul, rojo, verde (sujetos a disponibilidad)</p><p><br></p>"
erp_catalogo_productos,id_producto_erp,1475,descripcion,"<p>Arenero con tinai</p><p>Medidas: 51.3 x 39 x 24.3 cm (largo x ancho x alto)</p><p><br></p><p>Descripci├â┬│n:Arenero con contorno para evitar desbordes de arena con rejilla en el contorno paret delantera para limpieza de sus patitas del gato, de material resistente y durarero ba├â┬▒o para gatos.</p><p><br></p><p>Colores: Caf├â┬®, Rosa y Azul cielo (Sujetos a disponibilidad)</p>","<p>Arenero con tinai</p><p>Medidas: 51.3 x 39 x 24.3 cm (largo x ancho x alto)</p><p><br></p><p>Descripción:Arenero con contorno para evitar desbordes de arena con rejilla en el contorno paret delantera para limpieza de sus patitas del gato, de material resistente y durarero baño para gatos.</p><p><br></p><p>Colores: Café, Rosa y Azul cielo (Sujetos a disponibilidad)</p>"
erp_catalogo_productos,id_producto_erp,1476,descripcion,"<p>Arenero aqua</p><p>Medidas: 45 x 34 x 39 cm (largo x ancho x alto)</p><p><br></p><p>Descripci├â┬│n:</p><p>Arenero de material de calidad de facil traslado de un lugar a otro, un ba├â┬▒o elegante y muy amplio para gatos.</p><p>Desmontable con doble puerta intergrada una con puerta y la otra sin para que facil salga con lipiador de patas.</p><p>Absorbe malos olores y evita q se propagen al exterior</p><p>Compatible con cualquier tipo de arena, facil armado y limpieza con dise├â┬▒o vanguardista y exclusivo adaptable a cualquier espacio.</p><p><br></p><p>Incluye:</p><p>Puerta abatible</p><p>Pala</p><p>Charola extraible</p><p><br></p><p>Colres: rosa gris, azul ( sujetos a disponibilidad)</p>","<p>Arenero aqua</p><p>Medidas: 45 x 34 x 39 cm (largo x ancho x alto)</p><p><br></p><p>Descripción:</p><p>Arenero de material de calidad de facil traslado de un lugar a otro, un baño elegante y muy amplio para gatos.</p><p>Desmontable con doble puerta intergrada una con puerta y la otra sin para que facil salga con lipiador de patas.</p><p>Absorbe malos olores y evita q se propagen al exterior</p><p>Compatible con cualquier tipo de arena, facil armado y limpieza con diseño vanguardista y exclusivo adaptable a cualquier espacio.</p><p><br></p><p>Incluye:</p><p>Puerta abatible</p><p>Pala</p><p>Charola extraible</p><p><br></p><p>Colres: rosa gris, azul ( sujetos a disponibilidad)</p>"
erp_catalogo_productos,id_producto_erp,1477,descripcion,"<p>Arenero royal</p><p>Medidas: 52 x 40 x 39cm (largo x ancho x alto)</p><p><br></p><p>Descipci├â┬│n:</p><p>Desmontable con doble compuerta integrada. Absorbe malos olores y evita que se propaguen al exterior. Compatible con cualquier tipo de arena de f├â┬ícil armado y limpieza.</p><p>Dise├â┬▒o vanguardista y exclusivo Adaptable a cualquier espacio.</p><p>Incluye pala.</p><p><br></p><p>Colores: rosa, azul, gris (sujetos a disponibilidad)</p>","<p>Arenero royal</p><p>Medidas: 52 x 40 x 39cm (largo x ancho x alto)</p><p><br></p><p>Descipción:</p><p>Desmontable con doble compuerta integrada. Absorbe malos olores y evita que se propaguen al exterior. Compatible con cualquier tipo de arena de fácil armado y limpieza.</p><p>Diseño vanguardista y exclusivo Adaptable a cualquier espacio.</p><p>Incluye pala.</p><p><br></p><p>Colores: rosa, azul, gris (sujetos a disponibilidad)</p>"
erp_catalogo_productos,id_producto_erp,1478,descripcion,"<p>Arenero ovejamamba</p><p>Medidas: 53 x 41 x 38cm (largo x ancho x alto)</p><p><br></p><p>Descipci├â┬│n:</p><p>Desmontable con una compuerta integrada. Absorbe malos olores y evita que se propaguen al exterior con asa para facil transporte.</p><p>Compatible con cualquier tipo de arena.</p><p>F├â┬ícil armado y limpieza.</p><p>Dise├â┬▒o vanguardista y exclusivo</p><p>Adaptable a cualquier espacio.</p><p>Material resistente.</p><p>Incluye pala.</p><p><br></p><p>Colores: rosa, azul, naranja (sujetos a disponibilidad)</p>","<p>Arenero ovejamamba</p><p>Medidas: 53 x 41 x 38cm (largo x ancho x alto)</p><p><br></p><p>Descipción:</p><p>Desmontable con una compuerta integrada. Absorbe malos olores y evita que se propaguen al exterior con asa para facil transporte.</p><p>Compatible con cualquier tipo de arena.</p><p>Fácil armado y limpieza.</p><p>Diseño vanguardista y exclusivo</p><p>Adaptable a cualquier espacio.</p><p>Material resistente.</p><p>Incluye pala.</p><p><br></p><p>Colores: rosa, azul, naranja (sujetos a disponibilidad)</p>"
erp_catalogo_productos,id_producto_erp,1479,descripcion,"<p>Arenero furba triple</p><p>Medidas: 59 x 39 x 22(largo x ancho x alto)</p><p><br></p><p>Descipci├â┬│n:</p><p>Arenero con contorno para evitar derrames de arena con charola de sernidor, charola extra y arenero 3 en uno ba├â┬▒o para gatos.</p><p><br></p><p>Colores: caf├â┬®, verde (sujetos a disponibilidad)</p>","<p>Arenero furba triple</p><p>Medidas: 59 x 39 x 22(largo x ancho x alto)</p><p><br></p><p>Descipción:</p><p>Arenero con contorno para evitar derrames de arena con charola de sernidor, charola extra y arenero 3 en uno baño para gatos.</p><p><br></p><p>Colores: café, verde (sujetos a disponibilidad)</p>"
erp_catalogo_productos,id_producto_erp,1480,descripcion,"<p>Arenero frida</p><p>Medidas: 48.5 x 34 x 34cm (largo x ancho x alto)</p><p><br></p><p>Descipci├â┬│n:</p><p>Desmontable absorbe malos olores y evita que se propaguen al exterior.</p><p>Compatible con cualquier tipo de arena.</p><p>F├â┬ícil armado y limpieza.</p><p>Dise├â┬▒o vanguardista y exclusivo</p><p>Adaptable a cualquier espacio.</p><p>Material resistente.</p><p>Incluye pala.</p><p><br></p><p>Colores: azul con blanco(sujetos a disponibilidad)</p>","<p>Arenero frida</p><p>Medidas: 48.5 x 34 x 34cm (largo x ancho x alto)</p><p><br></p><p>Descipción:</p><p>Desmontable absorbe malos olores y evita que se propaguen al exterior.</p><p>Compatible con cualquier tipo de arena.</p><p>Fácil armado y limpieza.</p><p>Diseño vanguardista y exclusivo</p><p>Adaptable a cualquier espacio.</p><p>Material resistente.</p><p>Incluye pala.</p><p><br></p><p>Colores: azul con blanco(sujetos a disponibilidad)</p>"
erp_catalogo_productos,id_producto_erp,1481,descripcion,"<p>Arenero eston</p><p>Color: rosa</p><p><br></p><p>Descripci├â┬│n:Arenero con cubierta para evitar desbordes de arena. <span style=""color: rgb(50, 51, 56);"">&nbsp;Decide si deseas usarlo completamente cerrado o con la tapa a media altura.Coloca el filtro de carb├â┬│n activado en el compartimiento de ventilaci├â┬│n para el control de olores</span></p><p><span style=""color: rgb(50, 51, 56);"">El escal├â┬│n limpia patitas minimiza la cantidad de arena que tu gato arrastra al salir, evitando suciedad en el hogar. Versatilidad y comodidad: Su tapa desmontable permite ajustar la altura del arenero seg├â┬║n las preferencias de tu gato, brind├â┬índole un espacio c├â┬│modo y adaptable. F├â┬ícil acceso y limpieza: La puerta abatible facilita la entrada y salida del gato, mientras que su estructura desmontable y la pala incluida hacen m├â┬ís sencilla la limpieza diaria. Mayor privacidad para tu gato: Su dise├â┬▒o cerrado ofrece un entorno seguro y tranquilo, ideal para gatos que prefieren hacer sus necesidades en un espacio discreto.</span></p><p><br></p><p><br></p>","<p>Arenero eston</p><p>Color: rosa</p><p><br></p><p>Descripción:Arenero con cubierta para evitar desbordes de arena. <span style=""color: rgb(50, 51, 56);"">&nbsp;Decide si deseas usarlo completamente cerrado o con la tapa a media altura.Coloca el filtro de carbón activado en el compartimiento de ventilación para el control de olores</span></p><p><span style=""color: rgb(50, 51, 56);"">El escalón limpia patitas minimiza la cantidad de arena que tu gato arrastra al salir, evitando suciedad en el hogar. Versatilidad y comodidad: Su tapa desmontable permite ajustar la altura del arenero según las preferencias de tu gato, brindándole un espacio cómodo y adaptable. Fácil acceso y limpieza: La puerta abatible facilita la entrada y salida del gato, mientras que su estructura desmontable y la pala incluida hacen más sencilla la limpieza diaria. Mayor privacidad para tu gato: Su diseño cerrado ofrece un entorno seguro y tranquilo, ideal para gatos que prefieren hacer sus necesidades en un espacio discreto.</span></p><p><br></p><p><br></p>"
erp_catalogo_productos,id_producto_erp,1482,descripcion,"<p>Rascadero Banco gris</p><p>Medidas: 44cm x 50cm (di├â┬ímetro x alto)</p><p><br></p><p>Descripci├â┬│n:</p><p>Resistente y elegante</p><p>rascadero que funciona como banco o como cama para Gato, elaborado con Henequ├â┬®n 100 % fibra natural, MDF de 12 mm, textil Oslo.</p><p>El banco es resiste a una persona sentada.</p><p>Incluye: coj├â┬¡n</p><p><br></p><p>Color: gris</p>","<p>Rascadero Banco gris</p><p>Medidas: 44cm x 50cm (diámetro x alto)</p><p><br></p><p>Descripción:</p><p>Resistente y elegante</p><p>rascadero que funciona como banco o como cama para Gato, elaborado con Henequén 100 % fibra natural, MDF de 12 mm, textil Oslo.</p><p>El banco es resiste a una persona sentada.</p><p>Incluye: cojín</p><p><br></p><p>Color: gris</p>"
