9,General,,,,,,
CODIGO,NOMBRE DEL PRODUCTO,PRECIO,EX.,MARCA,MP,P.SUG.,ROT
HG0286,PATRICIO MINI 4X1X5 CM.,$7.55,96,HOBBY2,1,$15.10,AAA
HG1345,CASTILLO  #7 M-4  7X4X2 CM.,$8.31,12,HOBBY2,1,$16.61,AAA
HG0830,CORAL PUSH 4 PICOS 3X2X3 CM.,$9.19,4,HOBBY2,1,$18.39,AAA
HG0630,CASTILLOS MINIS 01 4X2X4 CM.,$9.19,9,HOBBY2,1,$18.39,AAA
HG0825,CORAL PUSH 2 PICOS 3X2X3 CM.,$9.19,12,HOBBY2,1,$18.39,AAA
HG1010,ESCAFANDRA 3X3X5 CM.,$9.19,14,HOBBY2,1,$18.39,AAA
HG0525,CASTILLOS # 7 01 6X6X2 CM.,$9.19,15,HOBBY2,1,$18.39,AAA
HG0815,CORAL 2 PICOS 2X3X3 CM.,$9.19,16,HOBBY2,1,$18.39,AAA
HG0640,CASTILLOS MINIS 03 4X2X5 CM.,$9.19,18,HOBBY2,1,$18.39,AAA
HG0835,CORAL VOLCAN 2X3X3 CM.,$9.19,18,HOBBY2,1,$18.39,AAA
HG0100,BARCO S/ROCAS 5X3X3 CM.,$9.19,24,HOBBY2,1,$18.39,AAA
HG0250,CRUSTACEO CASC. 4X1X3 CM.,$9.19,43,HOBBY2,1,$18.39,AAA
HG0700,COFRE MONEDAS 4X3X4 CM.,$9.19,44,HOBBY2,1,$18.39,AAA
HG0235,CASA CALAMARDO 3X2X4 CM.,$9.19,58,HOBBY2,1,$18.39,AAA
HG0310,PIÑA BOB 3X2X4 CM.,$9.19,79,HOBBY2,1,$18.39,AAA
HG1030,ESTRELLA FLOUR 6X1X6 CM.,$11.04,40,HOBBY2,1,$22.08,AAA
HG0287,PATRICIO CHICO 5X5X6 CM.,$12.09,47,HOBBY2,1,$24.17,AAA
HG0260,DON CANGREJO 5X5X5 CM.,$12.88,19,HOBBY2,1,$25.77,AAA
HG0430,CAÑON C/RISCO 7X2X7 CM.,$22.09,61,HOBBY2,1,$44.19,AAA
